username,first name,user id,access hash,group,group id,status
andyanwill,Andiyan,1092523119,9072849705091631976,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
ankittrader,UnLim,1658220448,4988828259620293055,Ftmo Myforexfund funded profit,1310004787,UserStatusLastMonth
Archadis,Archadius,914390285,-451409806122815567,Ftmo Myforexfund funded profit,1310004787,UserStatusLastMonth
Angel_Melanin,Angel,887306112,-1044800050659372991,Ftmo Myforexfund funded profit,1310004787,UserStatusLastWeek
Akash5270,Ak A,734231510,4155181438130146630,Ftmo Myforexfund funded profit,1310004787,UserStatusLastMonth
Asabani_i,😐,1170780207,-2452424193903285015,Ftmo Myforexfund funded profit,1310004787,UserStatusLastWeek
aimofAA,ʎʞɔǝq,495148893,-3649067118021044174,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
AliceTim,Alice,643274877,5737939841056619599,Ftmo Myforexfund funded profit,1310004787,UserStatusLastMonth
anuLdh07,You have only one life.,899804293,4428003180160476090,Ftmo Myforexfund funded profit,1310004787,UserStatusLastMonth
analuizalor,Ana Luiza,1110859803,-6624479671619937814,Ftmo Myforexfund funded profit,1310004787,UserStatusLastWeek
azmi_ahmed,AZMI,1831765884,7000707024261410878,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
aryaadhilaksono,Arya Adhi,433564684,6611909750880735435,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Alialiev0904,али,542719913,-5464582896010777875,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
ander729,Rebecca,1208102025,-566294032926714783,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Awny4,Auni,1304460129,-5969252206299671421,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Aashu2233,Johnson,1404001981,-8717832465905299136,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Arunkumar28006,Arun,1089715258,-3018337537357983184,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Anneclev,Anne,1898725646,-2629938074211934691,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Anthony1226,anthony,916851703,-2828647660858646998,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Ahtishaam,Ahtisham,1013402114,-8792822282636747056,Ftmo Myforexfund funded profit,1310004787,UserStatusLastWeek
azeemkafridi,"Azeem (3, 3) (3 Figures)",398681540,639063557597892299,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
alimsoliman,Ali,631228635,3253532923812399461,Ftmo Myforexfund funded profit,1310004787,UserStatusLastMonth
Ak948300,ak,1662277592,-4241069074576376869,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
andrelrdl,Andre,869736279,5894804072270838539,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
aaqade,a.a,565893939,-8269151181182447043,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
abdulrehmanfx,Abdul,1023150954,5396963160803671768,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Ajftheo,Theophilus Ajf,599212532,4799060326207887456,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
Awovie,Asita,254018859,-2186170578396171632,Ftmo Myforexfund funded profit,1310004787,UserStatusLastMonth
alkesr2022,alkesr2022,824219622,-8883044518639191585,Ftmo Myforexfund funded profit,1310004787,UserStatusRecently
